EG,EGP,GL,GLP,RA,RAP,LA,LAP,TR,TRP,Day1,Day7,Day15
0,0,1,5,0,0,0,0,0,0,42.82,32.18,51.63
0,0,1,5,1,5,0,0,0,0,55.51,39.5,59.11
0,0,1,5,1,10,0,0,0,0,53.37,46.68,53.48
0,0,1,5,1,15,0,0,0,0,59.28,47.18,59.96
0,0,1,5,1,20,0,0,0,0,58.17,49.08,57.4
0,0,1,10,0,0,0,0,0,0,52.45,62.28,60.33
0,0,1,10,1,5,0,0,0,0,73.38,70.19,68.38
0,0,1,10,1,10,0,0,0,0,58.86,70.7,52.52
0,0,1,10,1,15,0,0,0,0,55.11,57.11,67.53
0,0,1,10,1,20,0,0,0,0,52.29,63.59,64.38
0,0,1,15,0,0,0,0,0,0,68.8,70.22,67.67
0,0,1,15,1,5,0,0,0,0,66.68,71.79,69.25
0,0,1,15,1,10,0,0,0,0,71.33,75.65,71.96
0,0,1,15,1,15,0,0,0,0,70.45,77.12,77.64
0,0,1,15,1,20,0,0,0,0,67.39,63.2,67.78
0,0,1,20,0,0,0,0,0,0,66.2,51.0,46.57
0,0,1,20,1,5,0,0,0,0,68.83,48.01,55.42
0,0,1,20,1,10,0,0,0,0,68.33,63.41,52.54
0,0,1,20,1,15,0,0,0,0,72.5,47.71,61.79
0,0,1,20,1,20,0,0,0,0,64.96,48.43,52.03
0,0,1,5,0,0,0,0,1,5,55.34,42.87,54.35
0,0,1,5,0,0,0,0,1,10,40.38,39.74,56.55
0,0,1,5,0,0,0,0,1,15,44.32,47.81,52.77
0,0,1,5,0,0,0,0,1,20,48.97,48.36,57.4
0,0,1,10,0,0,0,0,1,5,56.6,68.97,58.19
0,0,1,10,0,0,0,0,1,10,55.08,48.38,50.87
0,0,1,10,0,0,0,0,1,15,56.32,44.97,71.84
0,0,1,10,0,0,0,0,1,20,51.21,54.69,63.18
0,0,1,15,0,0,0,0,1,5,70.96,67.48,58.81
0,0,1,15,0,0,0,0,1,10,62.76,69.81,71.03
0,0,1,15,0,0,0,0,1,15,69.9,54.99,66.98
0,0,1,15,0,0,0,0,1,20,57.09,48.07,63.72
0,0,1,20,0,0,0,0,1,5,70.81,51.16,42.22
0,0,1,20,0,0,0,0,1,10,62.59,59.01,48.37
0,0,1,20,0,0,0,0,1,15,65.88,65.29,40.61
0,0,1,20,0,0,0,0,1,20,69.02,55.75,49.33
0,0,1,5,0,0,1,5,0,0,48.59,49.52,46.57
0,0,1,5,0,0,1,10,0,0,46.28,49.88,53.36
0,0,1,5,0,0,1,15,0,0,55.78,52.21,55.47
0,0,1,5,0,0,1,20,0,0,48.64,54.57,46.6
0,0,1,10,0,0,1,5,0,0,72.3,71.22,64.19
0,0,1,10,0,0,1,10,0,0,63.25,59.92,58.54
0,0,1,10,0,0,1,15,0,0,49.57,47.73,69.03
0,0,1,10,0,0,1,20,0,0,50.94,41.6,63.78
0,0,1,15,0,0,1,5,0,0,60.05,53.44,56.64
0,0,1,15,0,0,1,10,0,0,59.13,48.57,50.47
0,0,1,15,0,0,1,15,0,0,59.59,46.33,76.18
0,0,1,15,0,0,1,20,0,0,59.93,43.59,58.25
0,0,1,20,0,0,1,5,0,0,71.76,48.37,43.78
0,0,1,20,0,0,1,10,0,0,59.2,37.04,57.27
0,0,1,20,0,0,1,15,0,0,60.63,43.29,60.74
0,0,1,20,0,0,1,20,0,0,60.68,36.82,52.73
1,5,0,0,0,0,0,0,0,0,41.07,38.77,28.99
1,10,0,0,0,0,0,0,0,0,44.77,38.57,33.58
1,15,0,0,0,0,0,0,0,0,49.31,42.2,37.51
1,20,0,0,0,0,0,0,0,0,46.83,40.92,32.51
1,5,0,0,0,0,0,0,1,5,64.92,53.87,52.54
1,5,0,0,0,0,0,0,1,10,71.23,69.57,69.47
1,5,0,0,0,0,0,0,1,15,79.47,64.77,63.58
1,5,0,0,0,0,0,0,1,20,68.75,68.32,67.74
1,10,0,0,0,0,0,0,1,5,69.93,65.0,56.32
1,10,0,0,0,0,0,0,1,10,74.44,74.36,61.25
1,10,0,0,0,0,0,0,1,15,83.47,74.58,62.88
1,10,0,0,0,0,0,0,1,20,74.12,71.35,65.41
1,15,0,0,0,0,0,0,1,5,68.97,64.08,62.83
1,15,0,0,0,0,0,0,1,10,67.74,67.38,66.48
1,15,0,0,0,0,0,0,1,15,74.52,74.41,73.16
1,15,0,0,0,0,0,0,1,20,76.14,75.41,72.31
1,20,0,0,0,0,0,0,1,5,75.17,70.9,70.74
1,20,0,0,0,0,0,0,1,10,74.19,73.96,72.8
1,20,0,0,0,0,0,0,1,15,74.47,73.33,73.17
1,20,0,0,0,0,0,0,1,20,73.2,72.91,72.36
1,5,0,0,1,5,0,0,0,0,67.37,59.84,47.42
1,5,0,0,1,10,0,0,0,0,64.62,62.66,58.29
1,5,0,0,1,15,0,0,0,0,56.66,56.52,52.76
1,10,0,0,1,5,0,0,0,0,62.76,56.27,42.17
1,10,0,0,1,10,0,0,0,0,60.87,59.43,58.84
1,10,0,0,1,15,0,0,0,0,65.57,61.65,57.67
1,15,0,0,1,5,0,0,0,0,64.86,58.64,50.01
1,15,0,0,1,10,0,0,0,0,62.53,54.39,52.83
1,15,0,0,1,15,0,0,0,0,65.91,65.72,64.32
1,20,0,0,1,5,0,0,0,0,58.65,56.82,56.45
1,20,0,0,1,10,0,0,0,0,68.18,61.41,61.25
1,20,0,0,1,15,0,0,0,0,69.0,66.11,65.59
1,5,0,0,0,0,1,5,0,0,64.47,58.33,55.56
1,5,0,0,0,0,1,10,0,0,65.29,62.5,57.01
1,5,0,0,0,0,1,15,0,0,67.57,61.87,57.56
1,5,0,0,0,0,1,20,0,0,72.91,69.49,64.89
1,10,0,0,0,0,1,5,0,0,65.36,59.72,58.28
1,10,0,0,0,0,1,10,0,0,69.09,69.01,57.14
1,10,0,0,0,0,1,15,0,0,70.35,59.38,59.18
1,10,0,0,0,0,1,20,0,0,63.12,62.43,61.7
1,15,0,0,0,0,1,5,0,0,66.88,65.72,63.16
1,15,0,0,0,0,1,10,0,0,80.37,73.21,70.63
1,15,0,0,0,0,1,15,0,0,85.99,74.59,73.61
1,15,0,0,0,0,1,20,0,0,77.32,70.33,69.23
1,20,0,0,0,0,1,5,0,0,61.29,60.56,58.38
1,20,0,0,0,0,1,10,0,0,69.33,68.19,67.44
1,20,0,0,0,0,1,15,0,0,72.76,67.23,61.75
1,20,0,0,0,0,1,20,0,0,72.31,60.63,60.45
